id;name;local_name;iso_2;iso_3;numeric_code;phone_code;currency;currency_name;currency_symbol;emoji;emoji_u
1;wobbly;on;sustenance before uh-huh;fishery blah;which;mmm compete;because gratefully;Naira;؋;geez;beneath guard paltry
2;thoughtfully;tackle;boo wiggly;aboard scratchy greedily;amidst;major rule throughout;although;Riel;kr;boiling why amongst;suitcase
3;minor sparkling exaggerate;than scale masculinize;wry whenever interior;mid whenever pish;before;fuss sailor;alliance equally sneaky;North Korean Won;kr;form kindheartedly familiarize;small madly off
4;meh;till;yuck;hmph;chunter woeful bootleg;careless;upliftingly procurement that;Zambian Kwacha;£;modulo yippee;hotfoot unique
5;instead;spirit;nearly save dreamily;except equally reel;limply oh;perfectly;near preside ha;Philippine Peso;៛;yahoo oof;congregate
6;yowza wash corrupt;pertain square squirm;which;hollow;loudly deflate;fooey;scramble fork low;Congolese Franc;Ft;within boo questioningly;under reflate
7;sup fondly;what ouch um;ick;coexist;bah;steeple;wherever upon;Burundi Franc;$;yum furthermore bossy;sailor commemorate
8;courteous ugh ack;transparency muscat;hundred with upon;even while;amidst;helplessly gadzooks qua;bowed after;Rand;£;when;boggle
9;grave inasmuch drat;ring ah oh;snoop provided;volunteer gah;inasmuch oily so;determined catch;chilly worldly sometimes;Brazilian Real;₨;lest;ha curry
10;er radiant pish;aggravating agreement;vacantly accompanist whereas;since;bravely tiny pish;concrete nerve bossy;list;Ethiopian Birr;₹;till where;into or tightly
