id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active;default_uom
1;exhausted;sore;joshingly;from battle usefully;strictly;bliss stained instructive;false;dearly
2;likewise;an elegantly;after cautiously;order;save furthermore;row debut;false;internationalize
3;jubilantly shallow;unfit;amid rightfully;hateful meh ah;swerve enrich vicinity;pish catalyze notwithstanding;true;if woot
4;before courageously;beside;frantically ah;because;colorful mysterious woot;actually that;true;importance good
5;whether;partially border within;whimsical;even especially;bah rawhide;amid vibrant wearily;false;than healthily yowza
6;although;bravely;enthusiastically aw;scorn pace;phew sad;strange given;false;yieldingly uncork off
7;eminent yuppify;whenever imaginary pace;yuck pfft save;heartfelt finding;though;huzzah;false;cross-contamination extract instead
8;once skeleton;and lest;exhaust jubilant;gripper maestro;superior debut aha;than since viciously;true;descriptive when dividend
9;ouch without phooey;including confiscate sour;tenderly overcook calmly;since yahoo;immense since upon;considering;false;tremendously
10;collaboration pish sans;petty drat;and and little;rebuke duh oh;before scorpion disarm;absent that atop;false;lay gee
