id;name;name_en;name_ar;name_fr;name_de;name_urdu;is_active
1;midst makeover;hm forenenst;agitated reproachfully;miserably;outside quizzically;throughout petticoat than;true
2;digit;down;unit not;why towards;opposite gosh license;youthfully vaguely;true
3;boom vibrant;patiently;finally;hairy;qua willfully provided;instead whitewash;false
4;casket;talkative soggy designation;gust um woot;gadzooks aw valiantly;upward;via;false
5;bah woot physical;tricky;barring near;versus likewise;sans;phooey;true
6;when messy;aside whenever solvency;variable;submissive;repeatedly;mechanic polite;false
7;watery stable which;monthly;without well-made freely;uselessly never;whose;woot;true
8;if print although;secrecy easily;forenenst whereas when;yum forenenst;amidst aha;meanwhile unblinking aha;false
9;pish;birdcage mechanic;wallaby beside;unlike guide;hyphenation onto analogy;uh-huh zowie knowingly;true
10;tame not rejoin;than er;atomize moralise;huzzah gosh sheepishly;pull optimistically;hm;false
