id;report_by_enc_id;reported_against_enc_id;report_date;report_data;report_status
1;cb4a0efb-823d-4288-84bd-6de6c1343a73;7fb00edb-d53c-4e85-8ee4-7c6451ed3a02;2025-02-14T10:54:55;indeed flowery;UNDER_PROCESS
2;fdb7ffb2-682a-439b-95dd-fb22d7ffa56c;03a59f3b-8751-49f7-bebe-36128c9b2ca5;2025-02-14T03:01:08;pearl weighty vibration;COMPLETED
3;a3f84dce-03da-41fe-baa6-bc9cd63160da;c6ce19fd-bfc1-4828-9d49-2b92560f902b;2025-02-14T16:16:37;juvenile;UNDER_PROCESS
4;efaa9c85-014d-46fc-ab88-d486a73794af;780214b3-76fb-4295-afae-34e0da11508a;2025-02-14T17:43:17;sore;UNDER_PROCESS
5;75047274-5588-4fe6-a9f7-a83e1b1cb5ba;44cb4cda-4eea-4a4f-bbe3-01654dfdf7e8;2025-02-14T14:28:21;until wallop woot;NEW
6;afe3ff89-f37f-4400-9025-d696689347d0;cad62f63-daab-4d48-86b9-e10234819b92;2025-02-14T12:18:54;er;NEW
7;b30221dd-77bb-432f-954c-c9b1975f8f90;3ed4d647-54b7-4cc2-8024-59e25e2375a8;2025-02-14T07:07:41;amongst ack;COMPLETED
8;cd0458ca-1804-4463-9dbe-c5108cd232e8;7af50c3b-8641-4a54-bfff-c014b62d88f8;2025-02-14T19:06:21;eyeliner beside afore;NEW
9;5450cdcb-1ab4-4d14-a952-678bd13e53a3;0090ebd9-ca7b-4a02-8bb2-ed301f623950;2025-02-13T23:12:22;positively;COMPLETED
10;8257068c-5576-47f6-b56f-ca24d8789197;cbca4a5c-9e8b-466f-8f01-5acae82a37f0;2025-02-14T17:34:45;quart phooey unto;COMPLETED
