id;name;local_name;iso_code
1;scaly lively;thunderbolt surprise pro;crocodile wherever
2;incinerate meanwhile than;zowie inasmuch eyeliner;intently oblong reopen
3;fireplace drat;though sunbeam;afterwards without
4;aha;folklore phooey affiliate;zowie till
5;for;around scarily;insecure ack emulsify
6;excess wherever seriously;jaggedly sizzling;zowie except
7;overfeed amidst;suddenly;regarding huzzah blah
8;daddy;exactly thankfully deliberately;for
9;dearly across;navigate mount;sniveling certainly
10;than roadway;meanwhile;boulevard pure
