id;type;name_en;name_ar;name_fr;name_de;name_urdu;details;details_en;details_ar;details_fr;details_de;details_urdu
1;NORMAL;beyond fuel apricot;spirit;after geez;through wonderfully than;because who;../fake-data/blob/hipster.txt;scary;tabulate;as since;modulo talkative forgo;afore daily quietly
2;NORMAL;cheetah whose;gallery;loftily coil hmph;generally;phooey swear;../fake-data/blob/hipster.txt;strait produce forgery;broadcast;gifted;meh;excluding incidentally
3;CORPORATE;fumigate;now wholly;during;onto emulsify;savour impact char;../fake-data/blob/hipster.txt;amount;chubby;excluding trouser;oof whereas;homeschool
4;NORMAL;approximate;lazy;zowie reprimand plain;until;whispered;../fake-data/blob/hipster.txt;yippee apropos ah;shoulder;popularity except;euphonium whose;midst overfeed and
5;NORMAL;deceivingly tremendously throughout;including uh-huh;fooey parsnip truly;pecan secondary;barring tasty;../fake-data/blob/hipster.txt;gracefully;fondly um thorny;incidentally quintuple;celebrated so circulate;vain dazzling shrilly
6;CORPORATE;up breastplate surge;priesthood;uh-huh of;ugh snuggle;silky including;../fake-data/blob/hipster.txt;legend;boohoo integer however;arrogantly;stupendous;geez before
7;NORMAL;ugh slow;kindheartedly;tank;affect into before;deserted forearm slowly;../fake-data/blob/hipster.txt;arrogantly airbus vivid;somber;injunction fooey certification;across but;absentmindedly superior
8;NORMAL;boohoo;failing display lest;oh treble awkwardly;before;knottily;../fake-data/blob/hipster.txt;pace;amongst bookcase minister;jealously pace amidst;desecrate between lest;accidentally father
9;PREMIUM;veto upside-down;swift decriminalize;self-assured card;disadvantage yearningly;woot reorganisation;../fake-data/blob/hipster.txt;tenderly overdub;helplessly since publicize;ack inasmuch emulsify;energetic;ambitious vice until
10;CORPORATE;charm;gift seemingly;plus help see;truthfully;once;../fake-data/blob/hipster.txt;roundabout soggy flu;sorrowful;bah;chunder inside;upright whoever ouch
