id;name;name_en;name_ar;name_fr;name_de;name_urdu;icon_url
1;pro;clearly phooey;empty;mosh qua;hence repeatedly;present better jaggedly;old
2;international;experienced knickers;easy broadly;as;instead;upset plain;yum
3;successfully;till phew given;speedily inside pish;upright sore;vaguely gosh;boohoo hmph agreement;mmm density
4;lightly dish;arraign supposing;lyre ha;meh extremely;upon overtrain;resort mostly past;more pale courtroom
5;ironclad gee;gerbil ew;given usher;whoa;quit vastly;whoever;psst
6;after hence apud;athwart;surprisingly amongst;tomorrow;fatherly;sticker;hurtful
7;reiterate willfully artistic;boohoo circa soulful;per pity twine;bore for;precedent playfully knowledgeably;handover shadowy;impanel repurpose dramatic
8;tomorrow why;likely ack properly;until numeric hoarse;ponder;emulsify;tomb certainly;nor
9;gee but abnormally;thoroughly carouse leap;regarding cardboard;midst brr;up pension yippee;passport rural sneaky;knowledgeably gripping on
10;ajar consequently;drat;if access intently;adolescent whereas through;descriptive enormously now;blah anenst;blah nor nearly
