id;name;name_en;name_ar;name_fr;name_de;name_urdu
1;steeple tensely;ack uh-huh know;purple;before vacantly;victoriously finer;millet
2;shore however;wearily pupil garage;metallic oh;finally;um muddy;yum off
3;steel dismal floodlight;ugh queasily;even;sans obvious shush;finally versus;blah grubby rue
4;which hoarse;woot;mushy;opposite free brightly;snoop;thankfully phooey
5;but as;er;brr unfit cow;supposing once;scotch;microblog
6;next incidentally;in cheese;boo in-joke fibre;reprimand pish what;into search;too of
7;concentration till;cafe spiteful obediently;hypothesize;successfully sneaky poorly;down jet creamy;until minty
8;exaggerate inasmuch;meh hmph the;notarize hmph;and fast airbus;oh;versus
9;finally inferior up;supposing;however;inasmuch lucky;to;fluff
10;oof wilted;however;the kowtow uh-huh;kookily substantiate;regularly rundown;handle
